date,price,merchant,product
2026-03-21 21:46:14.416458,130744.07,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-22 21:46:14.416458,128498.09,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-23 21:46:14.416458,127073.62,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-24 21:46:14.416458,125805.74,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-25 21:46:14.416458,119420.94,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-26 21:46:14.416458,124810.03,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-27 21:46:14.416458,121557.13,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-28 21:46:14.416458,120422.51,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-29 21:46:14.416458,116085.38,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-30 21:46:14.416458,120235.69,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-03-31 21:46:14.416458,116985.89,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-01 21:46:14.416458,115343.93,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-02 21:46:14.416458,114354.56,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-03 21:46:14.416458,115048.11,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-04 21:46:14.416458,113199.03,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-05 21:46:14.416458,111118.02,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-06 21:46:14.416458,109877.46,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-07 21:46:14.416458,111096.74,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-08 21:46:14.416458,107051.96,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-09 21:46:14.416458,99714.63,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-10 21:46:14.416458,107668.0,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-11 21:46:14.416458,103543.88,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-12 21:46:14.416458,102334.36,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-13 21:46:14.416458,103583.87,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-14 21:46:14.416458,103368.54,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-15 21:46:14.416458,101500.38,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-16 21:46:14.416458,100062.46,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-17 21:46:14.416458,98786.92,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-18 21:46:14.416458,97560.17,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-19 21:46:14.416458,98859.2,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-20 21:46:14.416458,96791.75,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-21 21:46:14.416458,94769.75,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-22 21:46:14.416458,86305.96,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-23 21:46:14.416458,94376.88,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-24 21:46:14.416458,93870.93,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-25 21:46:14.416458,92741.24,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-26 21:46:14.416458,88434.99,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-27 21:46:14.416458,91444.24,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-28 21:46:14.416458,90670.87,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-29 21:46:14.416458,86669.4,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-04-30 21:46:14.416458,85584.19,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-01 21:46:14.416458,86160.16,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-02 21:46:14.416458,87658.58,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-03 21:46:14.416458,85072.8,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-04 21:46:14.416458,85000.0,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-05 21:46:14.416458,85000.0,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-06 21:46:14.416458,85000.0,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
2026-05-07 21:46:14.416458,85000.0,DemoSource,Samsung Galaxy S25 Ultra 5G (12GB/256GB)
